加勒比海盗,戈尔·维宾斯基 Gore Verbinski,动作/冒险/奇幻,美国,2003,8.8,848472人评价,https://movie.douban.com/subject/1298070/
哈利·波特与密室,Chris Columbus,奇幻/冒险,英国/美国,2002,8.9,744942人评价,https://movie.douban.com/subject/1296996/
狩猎,托马斯·温特伯格 Thomas Vinterberg,剧情,丹麦/瑞典,2012,9.1,385201人评价,https://movie.douban.com/subject/6985810/
一一,杨德昌 Edward Yang,剧情/爱情/家庭,中国台湾/日本,2000,9.1,387963人评价,https://movie.douban.com/subject/1292434/
7号房的礼物,李焕庆 Hwan-kyeong Lee,剧情/喜剧/家庭,韩国,2013,8.9,551946人评价,https://movie.douban.com/subject/10777687/
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,剧情/歌舞,日本,2006,8.9,698008人评价,https://movie.douban.com/subject/1787291/
唐伯虎点秋香,李力持 Lik-Chi Lee,喜剧/爱情/古装,中国香港,1993,8.7,1067321人评价,https://movie.douban.com/subject/1306249/
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,剧情/爱情/同性,意大利/法国/巴西/美国,2017,8.9,714130人评价,https://movie.douban.com/subject/26799731/
断背山,李安 Ang Lee,剧情/爱情/同性/家庭,美国/加拿大,2005,8.8,701539人评价,https://movie.douban.com/subject/1418834/
剪刀手爱德华,蒂姆·波顿 Tim Burton,剧情/奇幻/爱情,美国,1990,8.7,1026310人评价,https://movie.douban.com/subject/1292370/
入殓师,泷田洋二郎 Yôjirô Takita,剧情,日本,2008,8.9,659097人评价,https://movie.douban.com/subject/2149806/
爱在黎明破晓前,理查德·林克莱特 Richard Linklater,剧情/爱情,美国/奥地利/瑞士,1995,8.8,674465人评价,https://movie.douban.com/subject/1296339/
勇敢的心,梅尔·吉布森 Mel Gibson,动作/传记/剧情/历史/战争,美国,1995,8.9,555273人评价,https://movie.douban.com/subject/1294639/
第六感,M·奈特·沙马兰 M. Night Shyamalan,剧情/悬疑/惊悚,美国,1999,8.9,550179人评价,https://movie.douban.com/subject/1297630/
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,剧情/动作/科幻/犯罪/惊悚,美国/英国,2012,8.8,711317人评价,https://movie.douban.com/subject/3395373/
重庆森林,王家卫 Kar Wai Wong,剧情/爱情,中国香港,1994,8.8,802249人评价,https://movie.douban.com/subject/1291999/
幽灵公主,宫崎骏 Hayao Miyazaki,动画/奇幻/冒险,日本,1997,8.9,518803人评价,https://movie.douban.com/subject/1297359/
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,喜剧/动作/科幻/动画/冒险,美国,2014,8.7,1000508人评价,https://movie.douban.com/subject/11026735/
爱在日落黄昏时,理查德·林克莱特 Richard Linklater,剧情/爱情,美国/法国,2004,8.9,553437人评价,https://movie.douban.com/subject/1291990/
菊次郎的夏天,北野武 Takeshi Kitano,剧情/喜剧,日本,1999,8.9,589698人评价,https://movie.douban.com/subject/1293359/
甜蜜蜜,陈可辛 Peter Chan,剧情/爱情,中国香港,1996,8.9,544880人评价,https://movie.douban.com/subject/1305164/
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,剧情/喜剧/爱情,法国/德国,2001,8.7,949659人评价,https://movie.douban.com/subject/1292215/
阳光灿烂的日子,姜文 Wen Jiang,剧情/爱情,中国大陆/中国香港,1994,8.9,608800人评价,https://movie.douban.com/subject/1291875/
小森林 夏秋篇,森淳一 Junichi Mori,剧情,日本,2014,9.0,421770人评价,https://movie.douban.com/subject/25814705/
